timestamp (ISO); user_id; trial; target_distance; target_size; movement_time (ms); start_pos_x; start_pos_y; end_pos_x; end_pos_y; click_offset_x; click_offset_y; was_error; pointing_technique; trial_name
2019-05-29T09:00:48; 3; 0; 150; 30; 1311; 418; 209; 553; 145; 0; 0; False; True; NL
2019-05-29T09:00:49; 3; 1; 150; 30; 1010; 555; 148; 429; 64; -3; 8; False; False; PL
2019-05-29T09:00:51; 3; 2; 300; 30; 1828; 429; 64; 491; 357; 0; 0; False; True; NH
2019-05-29T09:00:52; 3; 3; 300; 30; 1347; 494; 359; 526; 64; 0; -3; False; False; PH
2019-05-29T09:00:53; 3; 4; 150; 30; 1211; 526; 64; 675; 69; 0; 0; False; True; NL
2019-05-29T09:00:55; 3; 5; 150; 30; 1110; 682; 72; 748; 219; -4; -9; False; False; PL
2019-05-29T09:00:56; 3; 6; 300; 30; 1639; 748; 219; 466; 321; 0; 0; False; True; NH
2019-05-29T09:00:57; 3; 7; 300; 30; 1197; 460; 318; 719; 157; -4; 2; False; False; PH
2019-05-29T09:00:58; 3; 8; 150; 30; 1128; 719; 157; 708; 306; 0; 0; False; True; NL
2019-05-29T09:00:59; 3; 9; 150; 30; 1008; 711; 305; 560; 300; 1; 10; False; False; PL
2019-05-29T09:01:01; 3; 10; 300; 30; 1295; 560; 300; 270; 222; 0; 0; False; True; NH
2019-05-29T09:01:02; 3; 11; 300; 30; 1175; 286; 221; 562; 82; -6; 7; False; False; PH
2019-05-29T09:01:03; 3; 12; 150; 30; 1033; 562; 82; 689; 161; 0; 0; False; True; NL
2019-05-29T09:01:04; 3; 13; 150; 30; 1215; 686; 161; 702; 312; 12; -3; False; False; PL
2019-05-29T09:01:06; 3; 14; 300; 30; 1524; 702; 312; 402; 332; 0; 0; False; True; NH
2019-05-29T09:01:07; 3; 15; 300; 30; 1346; 404; 323; 502; 32; -5; 5; False; False; PH
2019-05-29T09:01:08; 3; 16; 150; 30; 1184; 502; 32; 352; 45; 0; 0; False; True; NL
2019-05-29T09:01:09; 3; 17; 150; 30; 1003; 355; 37; 263; 154; 1; 2; False; False; PL
2019-05-29T09:01:10; 3; 18; 300; 30; 1151; 263; 154; 517; 312; 0; 0; False; True; NH
2019-05-29T09:01:12; 3; 19; 300; 30; 1091; 516; 313; 247; 186; -5; 4; False; False; PH
2019-05-29T09:01:12; 3; 20; 150; 30; 975; 247; 186; 215; 332; 0; 0; False; True; NL
2019-05-29T09:01:14; 3; 21; 150; 30; 1184; 226; 325; 91; 271; -5; 0; False; False; PL
2019-05-29T09:01:15; 3; 22; 300; 30; 1086; 91; 271; 389; 297; 0; 0; False; True; NH
2019-05-29T09:01:16; 3; 23; 300; 30; 1111; 391; 304; 678; 227; 2; 0; False; False; PH
2019-05-29T09:01:17; 3; 24; 150; 30; 882; 678; 227; 535; 273; 0; 0; False; True; NL
2019-05-29T09:01:18; 3; 25; 150; 30; 1012; 536; 272; 410; 187; -2; 7; False; False; PL
2019-05-29T09:01:19; 3; 26; 300; 30; 1034; 410; 187; 158; 350; 0; 0; False; True; NH
2019-05-29T09:01:20; 3; 27; 300; 30; 1139; 167; 366; 53; 88; -3; 1; False; False; PH
2019-05-29T09:01:21; 3; 28; 150; 30; 1023; 53; 88; 167; 184; 0; 0; False; True; NL
2019-05-29T09:01:22; 3; 29; 150; 30; 963; 176; 181; 288; 61; -11; 8; False; False; PL
2019-05-29T09:01:23; 3; 30; 300; 30; 1094; 288; 61; 261; 359; 0; 0; False; True; NH
2019-05-29T09:01:24; 3; 31; 300; 30; 993; 258; 353; 302; 61; -2; -5; False; False; PH
2019-05-29T09:01:25; 3; 32; 150; 30; 1065; 302; 61; 451; 74; 0; 0; False; True; NL
2019-05-29T09:01:26; 3; 33; 150; 30; 894; 464; 79; 368; 203; 7; -2; False; False; PL
2019-05-29T09:01:27; 3; 34; 300; 30; 1004; 368; 203; 78; 125; 0; 0; False; True; NH
2019-05-29T09:01:28; 3; 35; 300; 30; 1052; 68; 128; 365; 247; -22; 3; False; False; PH
2019-05-29T09:01:29; 3; 36; 150; 30; 1163; 365; 247; 217; 220; 0; 0; False; True; NL
2019-05-29T09:01:30; 3; 37; 150; 30; 973; 217; 207; 194; 347; -5; 7; False; False; PL
2019-05-29T09:01:31; 3; 38; 300; 30; 980; 194; 347; 374; 107; 0; 0; False; True; NH
2019-05-29T09:01:32; 3; 39; 300; 30; 1148; 374; 112; 661; 48; 4; -8; False; False; PH
